word	lemma	pos
Verhaal	verhalen	VRB(finiteness=fin,tense=pres)
De	de	
Gids	Gids	
Het	het	
vinger-klem-incident	vinger-klemincident	
Dag	dag	NOU-C(number=sg)
1	een	NUM(type=card,position=free,representation=dig)
Ze	zij	PD(type=pers,position=free)
houdt	houden	VRB(finiteness=fin,tense=pres)
van	van	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
zon	zon	NOU-C(number=sg)
,	None	PC
maar	maar	CONJ(type=coor)
niet	niet	ADV(type=reg)
van	van	ADP(type=pre)
deze	deze	PD(type=d-p,position=free)
.	None	PC
Deze	deze	PD(type=d-p,position=free)
is	zijn	VRB(finiteness=fin,tense=pres)
te	te	ADV(type=reg)
heet	heet	AA(degree=pos,position=free)
.	None	PC
Ze	zij	PD(type=pers,position=free)
houdt	houden	VRB(finiteness=fin,tense=pres)
van	van	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
zon	zon	NOU-C(number=sg)
op	op	ADP(type=pre)
een	een	PD(type=indef,subtype=art,position=prenom)
frisse	fris	AA(degree=pos,position=prenom)
oktoberdag	oktoberdag	NOU-C(number=sg)
,	None	PC
als	als	CONJ(type=sub)
je	jij	PD(type=pers,position=free)
een	een	PD(type=indef,subtype=art,position=prenom)
trui	trui	NOU-C(number=sg)
aan	aanmoeten	VRB(finiteness=fin,tense=pres)
moet	aanmoeten	VRB(finiteness=fin,tense=pres)
,	None	PC
maar	maar	CONJ(type=coor)
geen	geen	PD(type=indef,subtype=oth,position=prenom)
jas	jas	NOU-C(number=sg)
.	None	PC
Een	een	PD(type=indef,subtype=art,position=prenom)
zon	zon	NOU-C(number=sg)
die	die	PD(type=d-p,position=free)
je	jij	PD(type=pers,position=free)
bijna	bijna	ADV(type=reg)
niet	niet	ADV(type=reg)
voelt	voelen	VRB(finiteness=fin,tense=pres)
.	None	PC
Licht	licht	NOU-C(number=sg)
zonder	zonder	ADP(type=pre)
warmte	warmte	NOU-C(number=sg)
.	None	PC
De	de	PD(type=d-p,subtype=art,position=prenom)
zon	zon	NOU-C(number=sg)
van	van	ADP(type=pre)
vandaag	vandaag	ADV(type=reg)
maakt	maken	VRB(finiteness=fin,tense=pres)
haar	haar	PD(type=pers,position=free)
kwaad	kwaad	AA(degree=pos,position=free)
.	None	PC
